IKResults,,,,,,,,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,,,,,,,,
nRows=577,,,,,,,,,,,,,,,,,,,,,,,,,
nColumns=26,,,,,,,,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Units are S.I. units (second, meters, Newtons, ...)",,,,,,,,,,,,,,,,,,,,,,,,,
"If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,,,,,,,,
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_ext,lumbar_bend,lumbar_rota
15.692,-0.33830071,2.628839,81.83769398,0.39589528,0.93788644,0.9790028,-14.94780965,-0.83723818,2.24176517,14.18868676,0.2476393,4.32670194,1.75278443,-7.46381218,24.12590885,-5.25431595,-12.5066455,0.92573637,0.01615715,-9.73833108,4.0324953,-7.46381218,-15.184365,-4.17567422,8.53585535
15.696,-0.33667326,2.68765571,81.69027552,0.39540231,0.93712892,0.97330492,-15.26036981,-0.9860949,2.17522024,14.39156236,0.25118015,4.26101161,1.91251098,-7.46781169,24.04606911,-5.26120585,-12.43033979,0.97851106,0.01707824,-9.62109483,3.79028217,-7.46781169,-15.19211056,-4.24172514,8.6166362
15.7,-0.34789841,2.7452647,81.48431153,0.39493871,0.93638667,0.96756196,-15.54069906,-1.17044747,2.13439928,14.6381948,0.2554847,4.2373414,2.07912913,-7.47077572,23.93959815,-5.278317,-12.35468554,1.07109251,0.01869409,-9.51132033,3.57217039,-7.47077572,-15.1848633,-4.3239174,8.81575177
15.704,-0.35604126,2.81334695,81.30041766,0.39444681,0.9356524,0.96179385,-15.84492158,-1.34394269,2.11732458,14.86131535,0.25937888,4.14098721,2.07474836,-7.47183179,23.82661051,-5.28799986,-12.2444073,1.22443614,0.02137044,-9.36063057,3.31983662,-7.47183179,-15.19404954,-4.40956645,8.98797071
15.708,-0.38502859,2.85720104,81.14381712,0.39392638,0.93489422,0.9559704,-16.1052865,-1.53853968,2.02392268,15.12194433,0.26392772,4.09803039,2.36655767,-7.47334579,23.73407277,-5.25872255,-12.03088603,1.41178627,0.02464032,-9.28405338,2.98596175,-7.47334579,-15.168178,-4.5031047,9.10778715
15.712,-0.40873613,2.91003503,80.94863214,0.39344458,0.93414962,0.95014174,-16.35441698,-1.73486602,2.00672049,15.40828889,0.26892537,4.00003163,2.48706276,-7.47649972,23.62606439,-5.25375796,-11.83621195,1.67023044,0.02915102,-9.10017193,2.72207593,-7.47649972,-15.14986398,-4.6000947,9.29121201
15.716,-0.44410624,2.92208831,80.80510834,0.39283689,0.9333564,0.94421086,-16.56358682,-1.93819529,1.90629616,15.70835996,0.2741626,3.90779078,2.64788873,-7.47942528,23.5674303,-5.20682815,-11.57215012,1.98183852,0.03458961,-8.96640794,2.35151573,-7.47942528,-15.07037494,-4.70054026,9.3794447
15.72,-0.47388025,2.97224924,80.60284856,0.39233916,0.93261834,0.93829095,-16.78085936,-2.14389949,1.92283447,16.05096722,0.28014223,3.74896052,2.70080239,-7.48195116,23.45454452,-5.19396318,-11.39371249,2.35394846,0.04108415,-8.7103719,2.21672172,-7.48195116,-15.03994661,-4.80392489,9.52609612
15.724,-0.51914412,2.97504464,80.43749983,0.39178371,0.93181889,0.93226322,-16.94950921,-2.35917427,1.83898728,16.40078335,0.28624767,3.61516906,2.83851391,-7.48324222,23.39158818,-5.15183942,-11.18995698,2.75946328,0.04816172,-8.53170808,2.06590015,-7.48324222,-14.9318402,-4.91305926,9.66683375
15.728,-0.55706946,2.9813516,80.28062994,0.39119901,0.93103403,0.92621586,-17.11666267,-2.55998989,1.80200023,16.75327429,0.2923998,3.39550187,2.84490896,-7.48430716,23.31878745,-5.10664103,-10.95503493,3.19038613,0.05568274,-8.38928586,1.90256099,-7.48430716,-14.829808,-5.01303466,9.79643993
15.732,-0.60212582,3.00056874,80.11037584,0.39060247,0.93027647,0.92012696,-17.27579486,-2.780657,1.78986378,17.146396,0.29926107,3.16645762,2.86466751,-7.48566313,23.21129139,-5.04755625,-10.7789545,3.60308091,0.06288563,-8.32112228,1.76881821,-7.48566313,-14.73384166,-5.12405008,9.92412634
